sample	read_id	contig	strain_id
T1	T1|strain1|0000099	demo_contig_1	strain1
T1	T1|strain2|0000021	demo_contig_1	strain2
T1	T1|strain2|0000069	demo_contig_1	strain2
T1	T1|strain2|0000169	demo_contig_1	strain2
T1	T1|strain2|0000177	demo_contig_1	strain2
T1	T1|strain2|0000283	demo_contig_1	strain2
T1	T1|strain2|0000316	demo_contig_1	strain2
T1	T1|strain2|0000363	demo_contig_1	strain2
T1	T1|strain2|0000472	demo_contig_1	strain2
T1	T1|strain2|0000481	demo_contig_1	strain2
T1	T1|strain2|0000531	demo_contig_1	strain2
T1	T1|strain2|0000558	demo_contig_1	strain2
T1	T1|strain2|0000591	demo_contig_1	strain2
T1	T1|strain2|0000616	demo_contig_1	strain2
T1	T1|strain2|0000617	demo_contig_1	strain2
T1	T1|strain2|0000630	demo_contig_1	strain2
T1	T1|strain2|0000700	demo_contig_1	strain2
T1	T1|strain2|0000710	demo_contig_1	strain2
T1	T1|strain2|0000728	demo_contig_1	strain2
T1	T1|strain2|0000772	demo_contig_1	strain2
T1	T1|strain2|0000799	demo_contig_1	strain2
T1	T1|strain2|0001046	demo_contig_1	strain2
T1	T1|strain2|0001132	demo_contig_1	strain2
T1	T1|strain2|0001216	demo_contig_1	strain2
T1	T1|strain2|0001221	demo_contig_1	strain2
T1	T1|strain2|0001229	demo_contig_1	strain2
T1	T1|strain2|0001244	demo_contig_1	strain2
T1	T1|strain2|0001252	demo_contig_1	strain2
T1	T1|strain2|0001438	demo_contig_1	strain2
T1	T1|strain2|0001440	demo_contig_1	strain2
T1	T1|strain2|0001481	demo_contig_1	strain2
T1	T1|strain2|0001485	demo_contig_1	strain2
T1	T1|strain2|0001596	demo_contig_1	strain2
T1	T1|strain2|0001603	demo_contig_1	strain2
T1	T1|strain2|0001652	demo_contig_1	strain2
T1	T1|strain2|0001669	demo_contig_1	strain2
T1	T1|strain2|0001765	demo_contig_1	strain2
T1	T1|strain2|0001835	demo_contig_1	strain2
T1	T1|strain2|0001892	demo_contig_1	strain2
T1	T1|strain2|0002093	demo_contig_1	strain2
T1	T1|strain2|0002145	demo_contig_1	strain2
T1	T1|strain2|0002320	demo_contig_1	strain2
T1	T1|strain2|0002350	demo_contig_1	strain2
T1	T1|strain2|0002505	demo_contig_1	strain2
T1	T1|strain2|0002537	demo_contig_1	strain2
T1	T1|strain2|0002653	demo_contig_1	strain2
T1	T1|strain2|0002674	demo_contig_1	strain2
T1	T1|strain2|0002768	demo_contig_1	strain2
T1	T1|strain2|0002812	demo_contig_1	strain2
T1	T1|strain2|0002842	demo_contig_1	strain2
T1	T1|strain2|0002944	demo_contig_1	strain2
T1	T1|strain2|0002959	demo_contig_1	strain2
T1	T1|strain2|0002960	demo_contig_1	strain2
T1	T1|strain2|0002992	demo_contig_1	strain2
T1	T1|strain2|0003111	demo_contig_1	strain2
T1	T1|strain2|0003222	demo_contig_1	strain2
T1	T1|strain2|0003223	demo_contig_1	strain2
T1	T1|strain2|0003238	demo_contig_1	strain2
T1	T1|strain2|0003308	demo_contig_1	strain2
T1	T1|strain2|0003486	demo_contig_1	strain2
T1	T1|strain2|0003495	demo_contig_1	strain2
T1	T1|strain2|0003505	demo_contig_1	strain2
T1	T1|strain2|0003506	demo_contig_1	strain2
T1	T1|strain2|0003719	demo_contig_1	strain2
T1	T1|strain2|0003735	demo_contig_1	strain2
T1	T1|strain2|0003759	demo_contig_1	strain2
T1	T1|strain2|0003762	demo_contig_1	strain2
T1	T1|strain2|0003822	demo_contig_1	strain2
T1	T1|strain2|0003847	demo_contig_1	strain2
T1	T1|strain2|0003944	demo_contig_1	strain2
T1	T1|strain2|0003976	demo_contig_1	strain2
T1	T1|strain2|0004038	demo_contig_1	strain2
T1	T1|strain2|0004051	demo_contig_1	strain2
T1	T1|strain2|0004079	demo_contig_1	strain2
T1	T1|strain2|0004080	demo_contig_1	strain2
T1	T1|strain2|0004086	demo_contig_1	strain2
